Test Name,Entity Type,Sort Type,Record Count,Execution Time (ms),With Index,Notes
Numeric Sort,points,x_value ASC,5,315,true,Numeric field sorting
String Sort,functions,name ASC,179,291,true,String field sorting
No Pagination,users,username ASC,80650,3609,true,Full dataset sorting
With Pagination,users,username ASC,10,178,true,Limited results with pagination
Complex Multi-Criteria,functions,user_id ASC, name DESC,10,159,true,Multiple filters + multi-sort + pagination
User Sorting,users,username ASC,80650,2641,true,User entity sorting
Function Sorting,functions,name ASC,179,156,true,Function entity sorting
Point Sorting,points,x_value ASC,5,154,true,Point entity sorting
Single Field ASC,users,username ASC,80650,3409,true,Basic single field sorting
Single Field DESC,users,username DESC,80650,2633,true,Single field descending
Sort Only,users,username ASC,80650,3017,true,Pure sorting without filters
Sort + Filter,users,username ASC,80650,2468,true,Sorting with WHERE clause
Multi-Field,functions,user_id ASC, name ASC,179,169,true,Two-field composite sorting
